col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20
70|4|49|77|8|46|23|68|97|42|77|94|51|27|86|89|20|97|26|53
9|37|3|99|44|14|60|7|88|96|32|66|4|22|78|70|8|14|11|74
8|80|57|70|60|28|5|64|58|89|69|41|88|16|78|29|75|7|87|99
33|89|28|63|90|20|5|72|62|96|54|60|8|57|15|25|41|12|32|40
46|71|57|43|73|89|38|59|28|93|5|90|96|94|67|94|41|88|81|40
63|4|86|69|57|72|5|76|92|47|5|73|23|76|66|82|86|96|10|20
39|54|10|89|86|43|37|6|88|10|74|60|69|44|40|27|67|20|10|92
84|100|86|67|29|22|66|81|24|60|64|2|65|41|57|43|87|96|63|36
75|87|77|77|20|66|85|14|50|91|98|87|55|54|40|23|67|94|75|91
54|42|17|44|67|62|80|30|44|1|99|66|90|33|86|92|86|98|84|38
89|54|21|81|82|78|27|41|24|18|83|92|77|60|23|95|43|57|36|56
2|67|22|83|49|80|75|41|8|42|28|60|72|35|86|80|95|38|54|13
59|81|73|96|75|38|20|71|85|18|94|70|8|22|81|23|53|40|4|60
82|13|74|42|37|34|30|30|23|85|47|28|87|16|34|93|22|86|93|71
40|24|50|16|74|66|82|21|71|85|84|28|39|11|28|73|67|71|72|93
22|91|55|61|59|22|30|23|15|8|43|57|55|1|30|74|100|66|16|70
3|96|71|65|28|91|58|69|45|76|77|11|20|84|21|99|4|44|1|52
94|91|58|75|18|34|10|86|26|7|27|26|37|98|8|57|54|89|20|11
46|55|72|40|52|13|9|23|18|7|50|73|47|75|77|70|48|8|19|26
55|81|69|92|64|32|7|2|50|78|40|6|37|33|75|11|22|44|82|50
10|19|40|10|10|59|1|20|75|50|38|91|33|71|2|49|23|100|17|76
25|95|45|24|6|3|97|50|73|20|93|57|47|99|1|1|55|27|17|34
95|14|75|56|65|29|86|24|97|40|24|39|83|40|63|4|47|75|78|18
77|40|90|82|34|84|67|3|26|73|17|46|4|20|59|3|89|39|24|46
26|13|73|98|12|9|54|52|91|28|47|56|82|19|2|38|11|98|58|44
59|10|6|57|92|2|13|79|23|80|63|9|55|23|89|47|37|4|49|78
20|18|43|43|31|70|18|88|70|80|31|10|34|44|12|23|69|92|15|86
94|82|44|31|87|87|43|73|43|2|26|78|24|19|75|61|14|86|68|20
78|51|24|13|12|28|85|48|52|93|29|12|51|81|2|33|66|53|85|99
43|80|14|53|26|93|15|32|90|100|6|57|17|84|18|84|63|21|87|66
43|24|33|94|61|44|1|10|21|56|78|84|25|10|6|49|60|83|1|90
24|77|93|9|30|39|93|13|62|93|21|27|7|47|44|49|12|64|39|95
27|61|88|74|31|38|58|50|82|33|72|12|90|16|79|11|97|55|53|6
94|92|76|98|92|23|72|22|77|76|81|49|55|4|39|98|80|43|82|77
79|61|61|55|21|88|11|49|70|8|71|38|67|36|57|68|42|34|19|42
65|95|61|93|42|73|22|43|98|44|73|12|54|59|36|9|33|3|84|13
20|60|53|85|85|40|41|8|87|24|31|25|82|1|27|33|76|34|93|34
12|95|31|58|75|71|28|3|29|46|38|64|33|45|18|28|35|23|80|99
21|28|66|50|58|53|51|99|6|82|22|61|48|81|94|98|66|4|38|14
29|92|41|54|27|29|84|22|22|37|73|1|85|54|67|17|9|94|8|60
71|54|47|87|62|20|99|88|2|17|54|74|57|75|28|13|82|97|17|35
66|57|89|95|47|25|20|96|41|35|36|13|95|86|52|91|49|89|52|22
72|51|46|40|98|49|11|58|16|66|94|72|60|54|12|88|35|72|95|47
98|78|7|87|20|37|59|53|30|84|76|63|12|8|63|66|55|99|60|84
48|21|80|95|39|90|73|87|40|45|27|25|13|25|40|72|90|74|77|10
14|26|39|65|83|46|3|18|75|13|31|59|68|60|97|80|19|66|42|75
28|73|43|47|67|81|47|8|46|85|29|76|52|25|70|9|52|42|99|67
49|23|8|17|49|4|71|28|28|71|27|53|21|85|28|2|48|16|76|77
93|3|58|70|54|56|74|58|44|13|40|77|35|44|22|58|25|79|17|98
5|83|47|86|77|26|100|39|37|70|97|87|28|73|96|73|89|31|55|100
98|64|37|70|94|15|29|68|71|76|45|68|17|34|8|38|84|65|91|95
67|46|68|96|31|96|78|92|46|94|21|89|81|64|82|70|74|14|59|64
14|97|31|74|8|2|81|46|37|23|82|91|35|65|36|49|48|13|42|72
80|29|95|40|71|51|84|56|100|50|2|82|57|46|63|15|63|25|63|62
38|84|29|89|97|1|4|38|18|37|14|26|18|17|14|90|68|67|27|45
85|54|70|17|80|18|74|44|84|62|5|41|22|10|99|78|29|64|73|70
89|100|18|47|32|13|31|23|3|89|52|36|43|7|1|73|90|57|22|57
85|59|41|95|53|91|30|70|92|85|21|12|43|79|25|72|23|79|57|62
