col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30
48|24|100|99|15|18|62|42|87|70|15|69|11|92|44|2|79|28|55|1|26|49|95|28|3|17|52|94|6|99
70|89|86|12|26|97|31|9|41|58|95|44|87|48|77|74|79|6|22|45|81|7|39|95|97|13|10|21|19|7
41|13|24|15|6|55|45|16|40|76|8|52|68|75|60|45|58|94|20|71|83|67|8|32|27|45|61|31|31|17
1|91|35|9|53|77|37|78|49|68|40|9|41|52|88|29|62|32|62|74|26|90|87|54|35|43|19|29|60|47
58|59|20|97|92|59|69|4|83|92|46|7|39|66|32|38|56|79|54|83|15|88|17|54|76|95|14|18|12|41
81|49|55|31|96|68|18|14|76|68|89|26|51|50|96|42|65|65|100|13|82|90|82|40|87|25|88|41|57|16
48|26|18|16|73|37|15|11|75|59|48|95|62|49|43|31|14|48|68|24|12|87|67|80|25|20|47|71|43|7
55|53|98|55|10|97|42|4|61|12|78|57|10|75|60|17|99|100|42|44|62|94|58|4|64|35|22|68|8|11
73|97|17|42|6|75|75|4|52|63|31|61|73|34|41|9|69|46|82|7|27|97|48|94|99|35|81|74|54|86
72|82|23|80|86|6|95|94|54|33|26|99|36|44|45|74|29|55|36|92|38|38|19|62|4|11|47|2|60|26
11|56|56|55|94|77|97|70|9|60|2|42|12|22|81|66|79|20|28|74|32|24|66|57|57|96|3|24|78|47
89|17|37|70|75|10|32|54|4|8|64|64|84|59|4|52|75|39|11|90|52|63|30|87|18|29|13|95|58|14
86|39|47|96|99|41|62|15|5|76|72|73|12|51|85|96|80|40|49|58|18|30|37|9|31|59|95|82|62|60
11|71|59|75|97|90|89|95|31|20|37|18|78|24|12|8|55|60|2|66|28|2|34|84|80|39|79|38|53|46
69|75|6|53|4|41|39|82|47|54|5|77|68|43|28|81|54|24|79|37|83|17|78|47|50|67|35|33|85|78
40|24|27|56|98|97|37|84|30|79|58|7|40|9|95|63|69|91|46|48|29|16|49|28|1|63|66|2|51|71
100|57|65|34|36|15|60|51|54|74|43|36|36|11|83|100|25|58|18|18|23|96|61|35|23|1|13|96|63|65
57|44|85|65|91|10|59|3|20|75|52|69|88|36|50|62|39|30|18|71|50|66|90|32|61|74|90|77|49|5
1|41|80|52|10|81|60|78|3|99|79|38|50|54|15|64|6|8|53|50|45|63|87|46|86|32|67|76|17|98
4|53|12|9|64|69|55|43|39|87|96|38|28|4|75|43|49|60|97|53|68|45|24|20|41|7|7|82|25|8
47|5|9|59|52|69|63|75|26|81|28|70|16|97|46|63|53|28|64|4|20|95|26|18|52|55|97|3|96|42
13|58|45|60|10|38|70|74|64|29|11|86|68|61|24|35|94|85|96|43|81|58|87|67|49|68|41|93|50|85
15|59|7|62|92|85|8|20|85|48|94|57|59|23|61|93|21|67|38|41|49|2|78|91|49|88|73|24|40|42
75|23|58|45|82|9|79|14|75|79|64|66|89|77|14|85|72|77|58|36|60|38|4|29|72|78|33|84|47|56
65|8|5|48|30|37|4|76|71|30|34|53|20|11|43|55|92|29|46|16|17|37|25|73|69|88|39|4|32|83
67|1|81|82|82|69|56|62|44|92|18|77|22|41|83|44|84|67|27|27|27|27|41|78|44|90|69|47|66|100
80|95|98|6|14|3|55|36|8|63|70|26|7|75|60|10|23|50|24|100|51|93|68|2|63|68|33|69|72|83
76|58|95|72|84|5|85|94|60|18|28|66|90|68|52|34|4|21|52|18|7|26|63|47|76|24|34|87|31|23
27|94|84|23|17|56|87|11|67|7|48|16|46|55|5|1|81|66|55|19|82|73|5|10|70|50|75|37|71|47
13|3|54|6|10|68|17|74|86|20|16|100|68|62|8|77|11|68|49|85|72|22|100|84|47|76|64|65|61|73
8|45|37|1|88|9|63|84|36|25|16|71|79|61|47|82|41|50|21|63|78|44|63|38|45|85|52|20|17|46
81|44|88|4|93|36|79|95|97|78|76|100|21|96|21|79|92|1|79|48|49|20|15|37|77|81|15|52|31|62
22|38|2|62|99|38|67|73|49|57|61|68|45|9|23|21|68|37|92|82|27|63|27|24|17|23|80|47|68|33
35|23|66|61|3|18|63|93|87|24|68|54|23|2|88|40|98|71|8|86|77|85|37|8|35|76|53|9|55|97
83|16|88|30|49|19|83|42|11|72|22|72|53|95|82|41|9|59|31|18|39|37|30|87|2|66|9|93|59|21
89|4|52|75|85|24|57|36|2|25|5|36|96|15|74|84|89|15|38|95|15|38|88|89|83|70|36|56|30|71
46|33|67|95|79|87|49|78|43|7|98|55|23|43|6|58|45|91|4|29|5|75|8|90|14|73|27|46|18|67
22|91|30|74|3|36|51|47|57|85|83|46|35|51|21|97|58|23|56|94|29|77|98|12|22|4|40|12|90|82
4|59|66|77|4|22|87|67|58|73|12|84|87|35|52|78|100|88|97|52|56|91|4|91|16|49|31|30|52|18
89|7|69|37|61|65|43|33|17|13|32|4|52|79|55|88|10|66|74|78|32|28|86|97|18|76|100|68|25|5
41|94|57|52|7|83|98|72|9|86|12|55|49|16|74|81|2|82|26|98|29|43|95|6|99|17|88|66|60|36
16|85|35|5|70|29|71|25|7|21|57|57|75|74|41|97|27|94|43|5|62|52|11|9|35|5|63|15|57|23
44|100|89|35|32|19|89|24|52|78|9|21|42|48|13|85|92|1|57|29|20|5|28|41|91|47|11|53|84|19
27|19|69|92|94|58|45|4|54|97|22|26|99|86|95|94|92|34|88|58|26|34|87|73|45|64|49|72|28|20
23|16|23|89|35|29|57|1|11|52|19|10|69|75|64|36|15|36|1|100|46|35|23|57|14|65|35|73|86|18
74|6|38|51|61|50|61|94|96|93|64|46|32|23|5|60|34|24|44|35|91|64|88|24|37|99|21|89|53|15
1|97|7|56|84|35|24|76|92|68|21|9|30|97|23|45|80|75|43|16|19|64|25|86|92|72|34|34|13|91
81|12|44|5|89|43|82|27|11|88|79|7|30|99|39|30|74|31|23|6|47|28|78|80|10|55|84|17|45|2
29|20|50|33|46|9|35|41|100|15|85|20|59|56|82|31|73|42|24|90|13|86|73|60|77|78|62|92|71|92
70|68|34|96|94|22|78|18|94|22|24|36|37|72|86|44|27|54|60|57|86|28|95|68|79|55|15|16|71|57
2|86|24|22|83|47|14|2|14|43|8|95|51|80|70|63|56|36|33|34|21|51|65|53|78|23|5|18|57|8
95|84|25|4|48|43|4|96|12|21|4|71|28|61|23|86|6|16|29|29|71|86|23|34|60|16|55|39|28|21
69|60|4|89|93|42|87|87|68|40|98|78|91|87|28|15|27|96|40|75|54|77|50|48|7|44|58|81|23|2
33|81|15|10|21|98|71|33|96|47|20|22|8|42|53|7|1|75|96|22|100|14|10|27|41|82|89|19|20|15
60|33|52|88|32|37|43|71|9|59|82|49|37|96|89|5|13|11|84|6|64|76|28|2|3|87|42|23|19|97
64|29|63|25|22|56|50|8|19|95|51|8|85|20|32|36|81|96|93|32|95|16|23|43|95|19|18|76|54|56
99|71|91|43|78|50|100|89|27|59|53|21|85|100|12|31|54|89|100|71|20|24|96|45|51|67|19|68|78|77
70|19|2|59|87|43|78|93|27|13|97|32|98|10|69|84|75|51|58|70|97|50|17|24|41|68|60|70|83|57
33|20|83|89|61|8|48|8|80|45|26|8|93|55|58|64|49|99|34|45|3|67|44|21|62|19|15|51|91|56
48|36|84|5|50|18|90|91|66|23|31|59|27|36|25|16|60|83|9|18|29|93|59|35|37|88|47|81|98|68
75|62|3|97|92|11|37|76|27|38|27|12|64|65|65|89|55|49|8|21|81|9|95|31|21|23|16|23|83|22
2|91|43|84|91|79|20|15|44|7|66|85|71|3|73|74|43|72|48|10|69|66|28|4|98|39|80|15|24|50
39|96|50|85|22|93|4|2|36|31|16|71|70|33|10|97|18|27|57|19|60|6|33|14|80|69|46|98|26|10
75|55|4|16|37|40|7|52|47|60|76|4|98|33|49|65|64|17|10|36|41|45|51|22|87|84|76|61|15|28
48|24|9|94|34|8|99|27|52|61|51|58|84|77|93|27|74|22|96|58|75|78|66|49|34|62|46|81|3|79
49|13|37|30|53|73|93|64|30|69|37|26|13|42|8|5|22|83|91|26|81|64|69|82|78|32|50|98|9|84
92|50|85|45|6|91|4|18|30|84|19|40|97|10|83|35|69|28|85|68|2|33|72|64|24|92|61|43|58|76
90|76|71|70|51|7|94|14|2|34|45|5|60|40|37|13|4|3|55|62|65|45|64|53|75|77|39|18|44|71
85|73|59|55|29|70|4|56|16|20|39|15|60|69|29|20|60|90|2|70|35|1|26|80|4|88|1|40|6|81
68|38|100|72|47|69|67|13|33|25|92|24|87|30|61|68|19|52|57|95|7|62|37|26|21|97|11|13|35|77
9|81|68|65|31|65|5|67|12|22|29|95|92|38|70|65|81|12|59|71|2|89|21|74|95|88|31|50|29|6
16|90|47|74|16|60|57|95|76|84|41|58|7|48|66|80|16|17|13|6|71|73|83|52|59|42|91|26|63|17
23|9|27|27|9|97|79|30|14|24|7|3|20|88|42|62|20|98|17|23|62|84|62|94|67|28|5|40|93|6
9|48|41|33|75|51|50|23|40|68|23|18|91|42|11|98|27|96|85|37|13|81|49|90|7|96|86|2|25|35
93|49|71|50|49|37|45|52|63|32|76|34|37|18|81|83|12|75|66|19|23|12|63|32|61|94|85|53|67|79
51|4|81|87|98|52|39|76|98|5|85|14|46|24|16|56|73|39|78|89|46|8|66|97|62|75|89|75|82|73
69|38|27|39|29|18|62|97|40|70|12|37|75|65|32|91|82|65|87|3|69|22|77|26|9|42|56|49|43|9
95|84|62|99|12|47|85|90|61|58|6|65|64|66|68|33|67|77|48|25|16|67|90|90|53|18|31|43|5|97
73|84|37|9|42|57|31|67|16|69|10|7|93|95|73|71|64|100|33|94|93|19|44|50|46|33|99|13|4|72
78|19|7|68|1|39|91|59|33|14|21|22|4|41|77|18|59|68|69|42|79|67|4|45|3|29|20|11|47|66
95|86|35|78|84|96|46|11|97|24|86|71|49|92|66|70|90|35|69|93|80|64|39|65|28|94|38|52|2|34
39|90|66|100|8|99|86|13|71|2|31|26|83|77|66|97|53|96|66|71|16|92|29|22|53|99|95|69|12|40
98|99|34|4|40|16|32|19|68|33|51|17|45|43|1|75|50|4|33|13|53|92|48|67|41|14|33|44|24|47
83|3|91|94|50|99|96|74|90|79|38|30|8|72|72|13|57|91|87|48|23|41|51|77|28|99|90|82|12|12
66|93|36|91|96|5|37|27|18|75|53|11|88|85|57|45|98|2|74|3|79|52|49|10|27|72|54|5|23|13
90|83|31|58|90|76|24|23|3|58|87|22|13|91|66|34|66|34|9|24|15|34|33|32|34|98|4|71|56|55
43|51|96|11|79|93|81|26|21|29|49|88|42|65|30|41|78|74|7|91|62|37|35|94|81|66|36|14|49|91
44|54|27|92|79|60|33|99|45|53|98|54|79|89|4|53|64|94|20|49|49|61|21|35|4|9|68|59|51|98
80|6|87|51|35|56|20|77|22|5|36|72|30|41|75|75|61|53|34|52|55|80|72|50|90|30|49|99|95|42
100|100|42|4|63|74|25|24|53|6|70|2|98|27|44|67|76|89|77|94|12|28|39|9|82|11|48|73|80|85
82|65|62|98|46|18|91|20|80|43|41|70|23|79|52|86|99|22|27|37|44|87|24|5|46|10|5|97|7|79
34|14|63|65|36|62|46|80|57|5|42|42|61|11|30|91|28|52|68|43|94|100|17|87|22|63|43|99|7|90
53|72|33|14|26|90|94|39|89|10|40|62|91|39|20|85|28|40|55|88|22|14|100|74|30|29|40|6|5|56
3|54|35|68|94|2|68|8|37|84|42|67|33|58|93|78|76|56|59|65|53|48|58|68|26|11|39|62|60|95
65|8|44|35|1|64|85|33|55|66|100|10|70|92|50|33|32|5|70|74|25|39|72|86|42|38|57|71|90|88
75|14|33|67|99|33|33|87|84|81|22|14|78|77|18|87|63|86|75|35|25|57|51|98|66|71|43|10|87|52
4|16|33|40|15|64|6|21|87|99|62|76|98|8|79|27|64|65|62|44|44|63|50|92|87|38|83|14|53|23
11|9|3|51|93|3|11|28|28|42|28|100|100|94|67|49|35|93|47|32|12|26|43|63|78|15|68|2|11|28
51|4|98|79|61|75|6|83|75|95|20|3|41|5|21|32|93|52|40|17|57|52|22|45|77|53|83|26|30|96
40|1|68|12|93|7|48|30|49|54|73|69|11|42|89|15|16|40|84|59|99|86|88|22|79|99|33|16|32|59
