col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58|col59|col60|col61|col62|col63|col64|col65|col66|col67|col68|col69|col70|col71|col72|col73|col74|col75|col76|col77|col78|col79|col80|col81|col82|col83|col84|col85|col86|col87|col88|col89|col90|col91|col92|col93|col94|col95|col96|col97|col98|col99|col100|col101|col102|col103|col104|col105|col106|col107|col108|col109|col110|col111|col112|col113|col114|col115|col116|col117|col118|col119|col120|col121|col122|col123|col124|col125|col126|col127|col128|col129|col130|col131|col132|col133|col134|col135|col136|col137|col138|col139|col140|col141|col142|col143|col144|col145|col146|col147|col148|col149|col150
85|50|77|13|1|46|5|10|24|3|79|39|57|77|81|46|81|88|35|92|31|95|31|4|5|10|34|37|46|74|31|15|87|7|65|6|52|93|56|20|81|78|88|20|7|17|87|50|17|66|75|39|95|78|60|3|7|77|85|54|30|17|10|87|6|18|47|95|45|94|52|66|85|43|62|64|47|8|21|48|28|30|11|11|22|95|45|27|26|64|79|82|29|41|92|67|70|48|57|72|10|86|3|14|24|1|87|75|48|70|46|3|37|21|56|70|31|9|92|77|31|13|30|97|32|7|7|64|24|20|94|10|69|27|31|31|29|58|55|4|7|92|98|25|57|100|84|49|56|90
66|28|19|24|70|2|21|9|24|68|12|78|77|60|11|57|85|1|87|55|52|77|49|30|71|66|47|49|28|5|41|84|97|25|4|10|91|11|43|70|83|79|84|71|31|41|90|29|63|36|58|45|47|15|79|65|63|24|24|37|81|1|81|28|26|62|83|10|75|67|15|34|17|38|20|57|65|70|10|1|60|69|54|84|96|46|55|52|55|67|44|60|59|44|33|46|80|2|11|58|11|5|69|38|31|29|56|60|56|51|9|67|64|51|59|38|64|75|41|90|96|90|26|3|36|92|5|56|43|47|21|71|4|56|51|25|25|9|19|77|37|93|71|3|19|93|6|57|69|49
8|67|99|23|89|35|31|30|43|68|35|77|46|22|72|94|61|56|31|61|94|92|39|82|57|50|81|38|99|78|39|74|76|27|57|78|87|8|37|6|21|100|98|31|15|59|95|78|71|81|60|75|43|72|64|18|15|61|48|62|74|72|64|70|64|95|28|35|26|94|43|33|22|61|56|89|99|40|64|95|43|47|28|95|19|96|68|93|65|8|10|57|69|67|11|99|93|86|73|38|47|31|72|68|2|34|34|39|19|34|62|71|85|20|88|71|82|14|97|91|71|51|37|37|34|52|39|12|53|15|15|44|74|16|30|16|18|77|37|77|95|81|25|66|94|9|36|55|95|87
23|88|12|100|74|9|88|93|37|96|51|49|93|77|90|73|94|48|59|98|38|31|38|98|68|18|39|64|42|98|45|6|49|58|67|94|39|67|5|14|69|94|19|100|30|13|2|13|68|42|77|9|37|24|97|2|32|92|38|4|91|94|3|40|8|33|57|28|83|87|25|10|95|85|45|98|72|52|6|73|93|39|50|14|73|72|48|6|30|39|77|41|66|9|69|74|17|38|23|81|44|72|55|98|89|37|41|75|17|83|87|40|54|17|63|4|69|23|28|16|84|44|21|34|81|99|98|36|65|73|78|67|58|15|74|86|45|96|34|89|16|26|19|88|60|95|78|44|51|77
70|99|22|55|73|18|76|6|83|90|76|66|90|83|88|87|42|100|39|85|86|25|79|46|6|26|62|92|88|33|18|33|11|85|62|71|32|21|70|87|42|51|11|66|62|85|1|14|18|40|88|80|87|96|96|52|71|66|10|18|98|84|87|63|1|79|94|90|62|40|61|23|48|37|85|3|95|97|95|30|80|93|7|84|82|49|10|90|81|95|19|58|82|22|20|75|23|36|64|27|73|50|68|43|31|47|21|91|37|1|29|27|79|39|77|45|39|36|99|6|76|82|37|39|57|64|78|36|6|73|92|34|37|12|3|7|13|28|76|14|34|54|99|5|34|63|31|68|21|40
1|6|89|19|86|79|56|30|3|7|50|44|80|87|23|50|41|71|79|59|12|32|49|98|41|49|1|98|70|54|70|55|99|52|41|78|79|39|94|63|34|16|38|15|55|78|53|81|11|51|99|51|2|48|28|37|18|62|55|51|2|5|46|14|1|44|86|89|63|25|85|23|85|24|19|16|27|65|57|10|67|14|27|31|79|34|79|4|10|36|93|60|44|84|45|72|44|80|45|33|36|45|61|24|96|57|68|50|9|66|17|12|80|54|34|54|99|63|56|55|42|43|74|36|2|30|90|97|7|66|46|90|17|3|85|45|36|94|35|2|46|48|48|43|67|70|31|20|94|8
35|19|68|99|84|75|4|50|22|50|80|38|20|79|42|12|30|86|97|23|69|44|6|79|8|80|24|91|27|96|11|4|23|27|74|23|43|73|26|68|20|55|54|17|93|28|1|32|75|99|90|6|58|59|97|84|46|10|64|95|29|83|62|27|39|60|95|92|4|87|47|36|35|52|50|11|20|59|64|62|94|41|74|72|53|51|3|21|86|33|54|35|31|39|30|3|8|42|45|4|8|89|28|39|75|7|53|94|73|92|26|73|48|94|77|35|32|25|7|61|19|26|10|37|18|24|3|56|15|20|74|32|68|54|95|31|42|57|6|30|62|1|24|69|5|34|73|98|49|15
19|76|33|96|86|77|10|1|11|43|22|72|35|82|90|58|54|2|81|57|72|100|76|46|95|9|43|26|73|65|52|6|79|28|67|41|83|12|60|10|44|51|88|47|80|75|39|40|51|44|10|77|21|50|17|48|80|11|45|8|72|68|48|16|82|17|28|85|4|67|71|87|41|56|53|71|74|23|96|20|29|12|88|100|99|49|37|3|92|53|56|46|40|13|16|12|67|9|95|24|97|68|81|77|78|3|18|62|1|48|67|14|55|2|34|95|33|5|11|36|2|9|33|28|86|26|25|24|43|37|93|7|12|64|75|45|98|42|21|21|1|2|2|18|66|81|22|85|41|40
53|88|80|7|21|55|32|38|53|40|89|80|53|8|88|93|42|21|95|14|10|86|73|37|42|2|51|74|89|36|76|89|89|69|28|2|20|15|31|76|6|82|55|79|18|14|74|79|33|63|10|28|32|100|99|33|66|74|8|28|65|25|34|30|89|50|78|96|70|40|36|49|44|91|32|15|52|1|1|48|77|30|56|8|30|38|36|17|15|95|5|95|79|25|75|46|14|74|17|84|72|1|25|56|5|45|92|22|4|35|67|68|96|13|97|19|54|90|79|62|62|80|58|27|67|36|17|15|91|34|49|31|53|25|22|90|53|63|25|74|73|20|90|41|30|54|40|82|95|52
15|30|26|56|83|44|15|76|11|77|98|55|51|82|41|83|39|58|74|53|8|100|8|9|84|20|33|80|37|98|6|34|27|19|29|82|77|68|88|64|12|61|42|14|20|53|38|30|55|70|36|43|41|15|1|78|20|54|75|100|91|45|73|84|31|2|38|64|32|29|9|34|58|89|40|46|64|43|44|28|4|25|43|46|20|66|78|28|49|50|51|44|10|4|55|39|99|19|5|41|72|6|38|77|52|67|98|14|33|30|55|46|53|20|64|31|33|33|76|39|72|87|30|58|4|65|26|86|37|99|18|67|100|26|66|70|97|28|6|34|96|21|28|18|33|46|23|78|37|10
